"Class","Band1","Band2","Band3","Band4","Band5","Band6","Band7","Band8","Band9","Band10","Band11","Band12"
"alfalfa",1.39999,1.89999,2.39999,2.10001,5.8,1.2,1.5,11.3,14.2,5.5,-35.1,-22.8
"alfalfa",3.39999,1.89999,3.39999,3.10001,6.8,0.199997,2.5,13.3,12.2,4.5,-39.1,-22.8
"alfalfa",0.399994,-1.10001,1.39999,0.100006,0.800003,-2.8,0.5,6.3,10.2,3.5,-19.1,-16.8
"alfalfa",1.39999,0.899994,1.39999,4.10001,4.8,0.199997,1.5,9.3,12.2,4.5,-29.1,-26.8
"alfalfa",1.39999,3.89999,2.39999,2.10001,6.8,1.2,4.5,11.3,13.2,6.5,-34.1,-23.8
"alfalfa",2.39999,2.89999,2.39999,2.10001,5.8,2.2,2.5,11.3,15.2,6.5,-26.1,-22.8
"alfalfa",4.39999,3.89999,0.399994,3.10001,3.8,1.2,2.5,11.3,13.2,7.5,-30.1,-18.8
"alfalfa",-0.60001,-3.10001,1.39999,1.10001,2.8,-0.8,0.5,7.3,6.2,2.5,-22.1,-18.8
"alfalfa",-0.60001,-0.10001,-0.60001,1.10001,2.8,-1.8,-0.5,9.3,9.2,1.5,-29.1,-18.8
"alfalfa",-0.60001,2.89999,1.39999,2.10001,4.8,-0.8,2.5,10.3,11.2,3.5,-35.1,-23.8
"alfalfa",0.399994,0.899994,2.39999,4.10001,7.8,2.2,2.5,15.3,13.2,5.5,-38.1,-21.8
"alfalfa",1.39999,2.89999,0.399994,3.10001,5.8,-0.8,1.5,14.3,13.2,5.5,-44.1,-30.8
"alfalfa",0.399994,2.89999,1.39999,1.10001,2.8,-1.8,0.5,7.3,10.2,3.5,-31.1,-17.8
"alfalfa",1.39999,1.89999,2.39999,0.100006,2.8,-4.8,-0.5,5.3,7.2,2.5,-29.1,-19.8
"alfalfa",1.39999,-1.10001,0.399994,2.10001,1.8,0.199997,1.5,8.3,11.2,4.5,-34.1,-21.8
"alfalfa",0.399994,0.899994,3.39999,3.10001,4.8,-0.8,3.5,9.3,11.2,7.5,-24.1,-19.8
"alfalfa",1.39999,2.89999,3.39999,5.10001,5.8,2.2,3.5,12.3,13.2,6.5,-34.1,-20.8
"alfalfa",0.399994,2.89999,2.39999,2.10001,4.8,2.2,3.5,11.3,9.2,7.5,-19.1,-17.8
"alfalfa",-1.60001,0.899994,1.39999,0.100006,2.8,-0.8,2.5,9.3,12.2,3.5,-27.1,-16.8
"alfalfa",-0.60001,-1.10001,-0.60001,-0.89999,0.800003,-2.8,0.5,8.3,11.2,3.5,-39.1,-18.8
"alfalfa",1.39999,3.89999,2.39999,4.10001,6.8,0.199997,0.5,11.3,12.2,5.5,-26.1,-16.8
"alfalfa",3.39999,3.89999,3.39999,3.10001,6.8,1.2,1.5,15.3,14.2,9.5,-29.1,-24.8
"alfalfa",1.39999,4.89999,4.39999,2.10001,5.8,0.199997,3.5,13.3,13.2,7.5,-25.1,-13.8
"alfalfa",5.39999,6.89999,5.39999,5.10001,7.8,3.2,4.5,18.3,18.2,7.5,-56.1,-26.8
"alfalfa",4.39999,5.89999,5.39999,7.10001,11.8,6.2,4.5,17.3,19.2,9.5,-57.1,-34.8
"alfalfa",6.39999,6.89999,5.39999,5.10001,9.8,5.2,3.5,18.3,18.2,7.5,-49.1,-33.8
"alfalfa",4.39999,5.89999,4.39999,5.10001,8.8,3.2,3.5,16.3,17.2,6.5,-41.1,-25.8
"alfalfa",6.39999,6.89999,6.39999,5.10001,10.8,3.2,6.5,19.3,19.2,10.5,-55.1,-35.8
"alfalfa",5.39999,6.89999,6.39999,7.10001,13.8,5.2,7.5,19.3,20.2,8.5,-51.1,-35.8
"alfalfa",2.39999,1.89999,6.39999,6.10001,8.8,2.2,5.5,15.3,16.2,9.5,-44.1,-20.8
"alfalfa",1.39999,4.89999,4.39999,6.10001,6.8,1.2,3.5,15.3,18.2,7.5,-52.1,-28.8
"alfalfa",1.39999,5.89999,4.39999,5.10001,10.8,2.2,4.5,17.3,15.2,8.5,-50.1,-28.8
"alfalfa",3.39999,5.89999,2.39999,5.10001,6.8,2.2,3.5,12.3,14.2,7.5,-36.1,-26.8
"alfalfa",2.39999,3.89999,4.39999,5.10001,7.8,2.2,5.5,14.3,17.2,10.5,-42.1,-24.8
"alfalfa",4.39999,4.89999,4.39999,6.10001,10.8,2.2,4.5,18.3,16.2,9.5,-54.1,-35.8
"alfalfa",3.39999,3.89999,2.39999,4.10001,8.8,0.199997,3.5,15.3,15.2,9.5,-42.1,-22.8
"alfalfa",4.39999,5.89999,5.39999,6.10001,10.8,3.2,5.5,19.3,17.2,11.5,-50.1,-35.8
"alfalfa",3.39999,0.899994,5.39999,4.10001,5.8,2.2,2.5,12.3,12.2,6.5,-41.1,-27.8
"alfalfa",2.39999,7.89999,4.39999,5.10001,9.8,5.2,3.5,19.3,19.2,11.5,-61.1,-35.8
"alfalfa",4.39999,6.89999,5.39999,6.10001,9.8,5.2,6.5,19.3,20.2,8.5,-56.1,-36.8
"alfalfa",3.39999,5.89999,4.39999,6.10001,9.8,6.2,6.5,18.3,20.2,11.5,-64.1,-34.8
"alfalfa",6.39999,7.89999,6.39999,7.10001,9.8,5.2,6.5,19.3,19.2,9.5,-55.1,-31.8
"alfalfa",7.39999,7.89999,7.39999,7.10001,11.8,6.2,7.5,20.3,20.2,10.5,-64.1,-41.8
"alfalfa",4.39999,7.89999,7.39999,7.10001,10.8,5.2,8.5,19.3,19.2,14.5,-50.1,-32.8
"alfalfa",6.39999,4.89999,6.39999,5.10001,11.8,7.2,5.5,19.3,22.2,11.5,-68.1,-40.8
"alfalfa",5.39999,7.89999,6.39999,6.10001,10.8,6.2,6.5,21.3,21.2,11.5,-59.1,-33.8
"alfalfa",2.39999,6.89999,5.39999,5.10001,10.8,7.2,5.5,17.3,17.2,13.5,-38.1,-18.8
"alfalfa",5.39999,3.89999,5.39999,5.10001,11.8,7.2,5.5,20.3,20.2,12.5,-51.1,-26.8
"alfalfa",3.39999,7.89999,4.39999,5.10001,9.8,4.2,5.5,18.3,18.2,9.5,-58.1,-35.8
"alfalfa",2.39999,3.89999,4.39999,5.10001,8.8,5.2,5.5,16.3,16.2,11.5,-33.1,-33.8
"alfalfa",0.399994,7.89999,3.39999,5.10001,5.8,5.2,6.5,15.3,15.2,10.5,-40.1,-19.8
"alfalfa",3.39999,5.89999,6.39999,5.10001,14.8,4.2,4.5,19.3,18.2,7.5,-60.1,-43.8
"alfalfa",3.39999,6.89999,4.39999,5.10001,8.8,5.2,4.5,15.3,19.2,9.5,-66.1,-34.8
"alfalfa",-4.60001,-4.10001,-3.60001,0.100006,-4.2,-1.8,-0.5,0.300003,2.2,3.5,-15.1,-5.8
"alfalfa",1.39999,3.89999,1.39999,4.10001,5.8,4.2,5.5,16.3,16.2,8.5,-43.1,-18.8
"corn",-0.60001,0.899994,2.39999,3.10001,4.8,4.2,3.5,13.3,15.2,17.5,-3.10001,-4.8
"corn",0.399994,-0.10001,1.39999,2.10001,0.800003,1.2,6.5,11.3,11.2,16.5,-1.10001,-3.8
"corn",-1.60001,-1.10001,3.39999,2.10001,6.8,1.2,1.5,11.3,9.2,14.5,7.89999,-2.8
"corn",-8.60001,-5.10001,-2.60001,-0.89999,-3.2,-2.8,0.5,10.3,6.2,11.5,-2.10001,4.2
"corn",-8.60001,-4.10001,-1.60001,0.100006,-3.2,-2.8,-0.5,0.300003,2.2,8.5,3.89999,2.2
"corn",-8.60001,-7.10001,-3.60001,-2.89999,-4.2,-3.8,-1.5,1.3,5.2,11.5,4.89999,4.2
"corn",-10.6,-7.10001,-4.60001,-2.89999,-5.2,-3.8,0.5,3.3,5.2,11.5,2.89999,2.2
"corn",-7.60001,-3.10001,-3.60001,0.100006,-3.2,0.199997,1.5,9.3,10.2,14.5,-1.10001,2.2
"corn",-7.60001,-7.10001,-5.60001,-2.89999,-6.2,-5.8,-3.5,4.3,2.2,8.5,3.89999,7.2
"corn",-8.60001,-9.10001,-2.60001,-2.89999,-4.2,-5.8,-0.5,2.3,2.2,9.5,0.899994,6.2
"corn",-11.6,-3.10001,-4.60001,-2.89999,-2.2,-1.8,0.5,4.3,4.2,13.5,0.899994,1.2
"corn",-7.60001,-2.10001,-0.60001,-0.89999,-3.2,-0.8,3.5,8.3,8.2,14.5,-1.10001,4.2
"corn",-6.60001,-4.10001,-1.60001,-0.89999,-2.2,-0.8,-0.5,4.3,8.2,12.5,3.89999,4.2
"corn",-11.6,-5.10001,-4.60001,-2.89999,-4.2,-1.8,-0.5,6.3,7.2,11.5,1.89999,2.2
"corn",-13.6,-6.10001,-4.60001,-2.89999,-7.2,-3.8,-0.5,4.3,8.2,12.5,-5.10001,1.2
"corn",-6.60001,-6.10001,-2.60001,-3.89999,-2.2,-6.8,-3.5,-1.7,-3.8,3.5,3.89999,3.2
"corn",-11.6,-7.10001,-5.60001,-1.89999,-8.2,-3.8,0.5,0.300003,7.2,11.5,4.89999,5.2
"corn",-6.60001,-5.10001,-2.60001,-2.89999,-6.2,-3.8,-0.5,4.3,5.2,9.5,-1.10001,2.2
"corn",-8.60001,-3.10001,-1.60001,-1.89999,-1.2,-4.8,-1.5,6.3,7.2,8.5,-5.10001,0.199997
"corn",-9.60001,-8.10001,-1.60001,0.100006,-4.2,-0.8,1.5,8.3,7.2,15.5,8.89999,7.2
"corn",-11.6,-4.10001,-4.60001,-0.89999,-3.2,0.199997,1.5,8.3,9.2,14.5,3.89999,6.2
"corn",-6.60001,-4.10001,-1.60001,0.100006,-4.2,0.199997,2.5,7.3,9.2,13.5,3.89999,5.2
"corn",-7.60001,-6.10001,-1.60001,-1.89999,-0.2,1.2,2.5,9.3,8.2,15.5,0.899994,6.2
"corn",-8.60001,-3.10001,-2.60001,-0.89999,1.8,2.2,1.5,9.3,9.2,15.5,7.89999,8.2
"corn",-5.60001,-2.10001,1.39999,0.100006,1.8,3.2,2.5,8.3,8.2,13.5,0.899994,2.2
"corn",-4.60001,-3.10001,1.39999,1.10001,1.8,3.2,4.5,9.3,10.2,18.5,5.89999,8.2
"corn",-4.60001,-3.10001,-1.60001,1.10001,-2.2,1.2,2.5,8.3,11.2,13.5,2.89999,2.2
"corn",-5.60001,-3.10001,-1.60001,0.100006,-0.2,0.199997,1.5,7.3,10.2,13.5,4.89999,4.2
"corn",-6.60001,-6.10001,-0.60001,-0.89999,-3.2,1.2,2.5,8.3,8.2,17.5,7.89999,6.2
"corn",-5.60001,-3.10001,-0.60001,-0.89999,1.8,0.199997,2.5,9.3,9.2,14.5,-0.10001,4.2
