index,OverallQual,YearBuilt,YearRemodAdd,TotalBsmtSF,1stFlrSF,GrLivArea,FullBath,TotRmsAbvGrd,GarageCars,GarageArea,SalePrice,ExterQual_TA,BsmtQual_Ex,KitchenQual_Ex,KitchenQual_TA
0,7,2003,2003,856.0,856,1710,2,8,2.0,548.0,208500.0,0,0,0,0
1,6,1976,1976,1262.0,1262,1262,2,6,2.0,460.0,181500.0,1,0,0,1
2,7,2001,2002,920.0,920,1786,2,6,2.0,608.0,223500.0,0,0,0,0
3,7,1915,1970,756.0,961,1717,1,7,3.0,642.0,140000.0,1,0,0,0
4,8,2000,2000,1145.0,1145,2198,2,9,3.0,836.0,250000.0,0,0,0,0
5,5,1993,1995,796.0,796,1362,1,5,2.0,480.0,143000.0,1,0,0,1
6,8,2004,2005,1686.0,1694,1694,2,7,2.0,636.0,307000.0,0,1,0,0
7,7,1973,1973,1107.0,1107,2090,2,7,2.0,484.0,200000.0,1,0,0,1
8,7,1931,1950,952.0,1022,1774,2,8,2.0,468.0,129900.0,1,0,0,1
9,5,1939,1950,991.0,1077,1077,1,5,1.0,205.0,118000.0,1,0,0,1
10,5,1965,1965,1040.0,1040,1040,1,5,1.0,384.0,129500.0,1,0,0,1
11,9,2005,2006,1175.0,1182,2324,3,11,3.0,736.0,345000.0,0,1,1,0
12,5,1962,1962,912.0,912,912,1,4,1.0,352.0,144000.0,1,0,0,1
13,7,2006,2007,1494.0,1494,1494,2,7,3.0,840.0,279500.0,0,0,0,0
14,6,1960,1960,1253.0,1253,1253,1,5,1.0,352.0,157000.0,1,0,0,1
15,7,1929,2001,832.0,854,854,1,5,2.0,576.0,132000.0,1,0,0,1
16,6,1970,1970,1004.0,1004,1004,1,5,2.0,480.0,149000.0,1,0,0,1
17,4,1967,1967,0.0,1296,1296,2,6,2.0,516.0,90000.0,1,0,0,1
18,5,2004,2004,1114.0,1114,1114,1,6,2.0,576.0,159000.0,1,0,0,0
19,5,1958,1965,1029.0,1339,1339,1,6,1.0,294.0,139000.0,1,0,0,1
20,8,2005,2006,1158.0,1158,2376,3,9,3.0,853.0,325300.0,0,1,0,0
21,7,1930,1950,637.0,1108,1108,1,6,1.0,280.0,139400.0,1,0,0,0
22,8,2002,2002,1777.0,1795,1795,2,7,2.0,534.0,230000.0,0,0,0,0
23,5,1976,1976,1040.0,1060,1060,1,6,2.0,572.0,129900.0,1,0,0,1
24,5,1968,2001,1060.0,1060,1060,1,6,1.0,270.0,154000.0,1,0,0,0
25,8,2007,2007,1566.0,1600,1600,2,7,3.0,890.0,256300.0,0,0,0,0
26,5,1951,2000,900.0,900,900,1,5,2.0,576.0,134800.0,1,0,0,0
27,8,2007,2008,1704.0,1704,1704,2,7,3.0,772.0,306000.0,0,1,0,0
28,5,1957,1997,1484.0,1600,1600,1,6,1.0,319.0,207500.0,1,0,0,1
29,4,1927,1950,520.0,520,520,1,4,1.0,240.0,68500.0,1,0,0,0
30,4,1920,1950,649.0,649,1317,1,6,1.0,250.0,40000.0,1,0,0,1
31,5,1966,2006,1228.0,1228,1228,1,6,1.0,271.0,149350.0,1,0,0,0
32,8,2007,2007,1234.0,1234,1234,2,7,2.0,484.0,179900.0,0,1,0,0
33,5,1959,1959,1398.0,1700,1700,1,6,2.0,447.0,165500.0,1,0,0,0
