SalePrice,Id,LotArea,BsmtUnfSF,TotalBsmtSF,GrLivArea,LotFrontage,GarageArea,1stFlrSF,BsmtFinSF1,MasVnrArea,WoodDeckSF,YearBuilt,YearRemodAdd,OpenPorchSF,MoSold,2ndFlrSF,GarageYrBlt,ScreenPorch,OverallCond,BsmtFinSF2,BedroomAbvGr,OverallQual,EnclosedPorch,TotRmsAbvGrd,YrSold,MSSubClass,Neighborhood_StoneBr,Neighborhood_CollgCr,Exterior2nd_Stucco,Neighborhood_SawyerW
208500.0,1,8450,150.0,856.0,1710,65.0,548.0,856,706.0,196.0,0,2003,2003,61,2,854,2003.0,0,5,0.0,3,7,0,8,2008,60,0,1,0,0
181500.0,2,9600,284.0,1262.0,1262,80.0,460.0,1262,978.0,0.0,298,1976,1976,0,5,0,1976.0,0,8,0.0,3,6,0,6,2007,20,0,0,0,0
223500.0,3,11250,434.0,920.0,1786,68.0,608.0,920,486.0,162.0,0,2001,2002,42,9,866,2001.0,0,5,0.0,3,7,0,6,2008,60,0,1,0,0
140000.0,4,9550,540.0,756.0,1717,60.0,642.0,961,216.0,0.0,0,1915,1970,35,2,756,1998.0,0,5,0.0,3,7,272,7,2006,70,0,0,0,0
250000.0,5,14260,490.0,1145.0,2198,84.0,836.0,1145,655.0,350.0,192,2000,2000,84,12,1053,2000.0,0,5,0.0,4,8,0,9,2008,60,0,0,0,0
143000.0,6,14115,64.0,796.0,1362,85.0,480.0,796,732.0,0.0,40,1993,1995,30,10,566,1993.0,0,5,0.0,1,5,0,5,2009,50,0,0,0,0
307000.0,7,10084,317.0,1686.0,1694,75.0,636.0,1694,1369.0,186.0,255,2004,2005,57,8,0,2004.0,0,5,0.0,3,8,0,7,2007,20,0,0,0,0
200000.0,8,10382,216.0,1107.0,2090,69.30579531442663,484.0,1107,859.0,240.0,235,1973,1973,204,11,983,1973.0,0,6,32.0,3,7,228,7,2009,60,0,0,0,0
129900.0,9,6120,952.0,952.0,1774,51.0,468.0,1022,0.0,0.0,90,1931,1950,0,4,752,1931.0,0,5,0.0,2,7,205,8,2008,50,0,0,0,0
118000.0,10,7420,140.0,991.0,1077,50.0,205.0,1077,851.0,0.0,0,1939,1950,4,1,0,1939.0,0,6,0.0,2,5,0,5,2008,190,0,0,0,0
129500.0,11,11200,134.0,1040.0,1040,70.0,384.0,1040,906.0,0.0,0,1965,1965,0,2,0,1965.0,0,5,0.0,3,5,0,5,2008,20,0,0,0,0
345000.0,12,11924,177.0,1175.0,2324,85.0,736.0,1182,998.0,286.0,147,2005,2006,21,7,1142,2005.0,0,5,0.0,4,9,0,11,2006,60,0,0,0,0
144000.0,13,12968,175.0,912.0,912,69.30579531442663,352.0,912,737.0,0.0,140,1962,1962,0,9,0,1962.0,176,6,0.0,2,5,0,4,2008,20,0,0,0,0
279500.0,14,10652,1494.0,1494.0,1494,91.0,840.0,1494,0.0,306.0,160,2006,2007,33,8,0,2006.0,0,5,0.0,3,7,0,7,2007,20,0,1,0,0
157000.0,15,10920,520.0,1253.0,1253,69.30579531442663,352.0,1253,733.0,212.0,0,1960,1960,213,5,0,1960.0,0,5,0.0,2,6,176,5,2008,20,0,0,0,0
132000.0,16,6120,832.0,832.0,854,51.0,576.0,854,0.0,0.0,48,1929,2001,112,7,0,1991.0,0,8,0.0,2,7,0,5,2007,45,0,0,0,0
149000.0,17,11241,426.0,1004.0,1004,69.30579531442663,480.0,1004,578.0,180.0,0,1970,1970,0,3,0,1970.0,0,7,0.0,2,6,0,5,2010,20,0,0,0,0
90000.0,18,10791,0.0,0.0,1296,72.0,516.0,1296,0.0,0.0,0,1967,1967,0,10,0,1967.0,0,5,0.0,2,4,0,6,2006,90,0,0,0,0
159000.0,19,13695,468.0,1114.0,1114,66.0,576.0,1114,646.0,0.0,0,2004,2004,102,6,0,2004.0,0,5,0.0,3,5,0,6,2008,20,0,0,0,1
