SalePrice,Neighborhood_NridgHt,LandContour_HLS,Neighborhood_NoRidge,MSZoning_FV,Neighborhood_Timber,Neighborhood_CollgCr,Neighborhood_StoneBr,MasVnrArea,GarageArea,OverallQual,KitchenQual,ExterQual,WoodDeckSF,Exterior1st_CemntBd,LotConfig_FR2,GrLivArea,FullBath,LotShape,FireplaceQu,LotConfig_CulDSac
208500.0,0,0,0,0,0,1,0,196.0,548.0,7,4.0,4.0,0,0,0,1710,2,1.0,0.0,0
181500.0,0,0,0,0,0,0,0,0.0,460.0,6,3.0,3.0,298,0,1,1262,2,1.0,3.0,0
223500.0,0,0,0,0,0,1,0,162.0,608.0,7,4.0,4.0,0,0,0,1786,2,2.0,3.0,0
140000.0,0,0,0,0,0,0,0,0.0,642.0,7,4.0,3.0,0,0,0,1717,1,2.0,4.0,0
250000.0,0,0,1,0,0,0,0,350.0,836.0,8,4.0,4.0,192,0,1,2198,2,2.0,3.0,0
143000.0,0,0,0,0,0,0,0,0.0,480.0,5,3.0,3.0,40,0,0,1362,1,2.0,0.0,0
307000.0,0,0,0,0,0,0,0,186.0,636.0,8,4.0,4.0,255,0,0,1694,2,1.0,4.0,0
200000.0,0,0,0,0,0,0,0,240.0,484.0,7,3.0,3.0,235,0,0,2090,2,2.0,3.0,0
129900.0,0,0,0,0,0,0,0,0.0,468.0,7,3.0,3.0,90,0,0,1774,2,1.0,3.0,0
118000.0,0,0,0,0,0,0,0,0.0,205.0,5,3.0,3.0,0,0,0,1077,1,1.0,3.0,0
129500.0,0,0,0,0,0,0,0,0.0,384.0,5,3.0,3.0,0,0,0,1040,1,1.0,0.0,0
345000.0,1,0,0,0,0,0,0,286.0,736.0,9,5.0,5.0,147,0,0,2324,3,2.0,4.0,0
144000.0,0,0,0,0,0,0,0,0.0,352.0,5,3.0,3.0,140,0,0,912,1,3.0,0.0,0
279500.0,0,0,0,0,0,1,0,306.0,840.0,7,4.0,4.0,160,0,0,1494,2,2.0,4.0,0
157000.0,0,0,0,0,0,0,0,212.0,352.0,6,3.0,3.0,0,0,0,1253,1,2.0,2.0,0
132000.0,0,0,0,0,0,0,0,0.0,576.0,7,3.0,3.0,48,0,0,854,1,1.0,0.0,0
149000.0,0,0,0,0,0,0,0,180.0,480.0,6,3.0,3.0,0,0,0,1004,1,2.0,3.0,1
90000.0,0,0,0,0,0,0,0,0.0,516.0,4,3.0,3.0,0,0,0,1296,2,1.0,0.0,0
159000.0,0,0,0,0,0,0,0,0.0,576.0,5,4.0,3.0,0,0,0,1114,1,1.0,0.0,0
139000.0,0,0,0,0,0,0,0,0.0,294.0,5,3.0,3.0,0,0,0,1339,1,1.0,0.0,0
325300.0,1,0,0,0,0,0,0,380.0,853.0,8,4.0,4.0,240,0,0,2376,3,2.0,4.0,0
139400.0,0,0,0,0,0,0,0,0.0,280.0,7,4.0,3.0,0,0,0,1108,1,1.0,4.0,0
230000.0,0,0,0,0,0,1,0,281.0,534.0,8,4.0,4.0,171,0,0,1795,2,1.0,4.0,0
129900.0,0,0,0,0,0,0,0,0.0,572.0,5,3.0,3.0,100,1,0,1060,1,1.0,3.0,0
154000.0,0,0,0,0,0,0,0,0.0,270.0,5,4.0,3.0,406,0,0,1060,1,2.0,3.0,0
256300.0,1,0,0,0,0,0,0,640.0,890.0,8,4.0,4.0,0,0,0,1600,2,1.0,4.0,0
134800.0,0,0,0,0,0,0,0,0.0,576.0,5,4.0,3.0,222,0,0,900,1,1.0,0.0,0
306000.0,1,0,0,0,0,0,0,200.0,772.0,8,4.0,4.0,0,0,0,1704,2,1.0,4.0,0
207500.0,0,0,0,0,0,0,0,0.0,319.0,5,3.0,3.0,288,0,0,1600,1,2.0,4.0,1
68500.0,0,0,0,0,0,0,0,0.0,240.0,4,2.0,3.0,49,0,0,520,1,2.0,0.0,0
40000.0,0,0,0,0,0,0,0,0.0,250.0,4,3.0,3.0,0,0,0,1317,1,1.0,0.0,0
149350.0,0,0,0,0,0,0,0,0.0,271.0,5,4.0,3.0,0,0,0,1228,1,2.0,0.0,1
179900.0,0,0,0,0,0,1,0,0.0,484.0,8,4.0,4.0,0,0,0,1234,2,1.0,0.0,0
165500.0,0,0,0,0,0,0,0,0.0,447.0,5,4.0,3.0,0,0,0,1700,1,2.0,4.0,0
277500.0,1,0,0,0,0,0,0,246.0,556.0,9,5.0,5.0,203,0,0,1561,2,1.0,4.0,0
