feat,f,mi,logreg,lightgbm
Id,184.0,301.0,1.0,1.0
MSSubClass,194.0,287.0,82.0,26.0
LotFrontage,95.0,293.0,39.0,6.0
LotArea,8.0,294.0,146.0,2.0
OverallQual,10.0,276.0,58.0,22.0
OverallCond,137.0,280.0,62.0,19.0
YearBuilt,33.0,289.0,110.0,12.0
YearRemodAdd,53.0,288.0,77.0,13.0
MasVnrArea,31.0,279.0,28.0,10.0
BsmtFinSF1,86.0,291.0,29.0,9.0
BsmtFinSF2,203.0,235.0,136.0,20.0
BsmtUnfSF,84.0,301.0,23.0,3.0
TotalBsmtSF,42.0,292.0,75.0,4.0
1stFlrSF,40.0,295.0,54.0,8.0
2ndFlrSF,74.0,281.0,46.0,16.0
LowQualFinSF,182.0,132.0,204.0,242.0
GrLivArea,23.0,286.0,60.0,5.0
BsmtFullBath,140.0,274.0,10.0,67.0
BsmtHalfBath,230.0,198.0,101.0,94.0
FullBath,30.0,244.0,44.0,43.0
HalfBath,83.0,259.0,16.0,80.0
BedroomAbvGr,139.0,277.0,37.0,21.0
KitchenAbvGr,187.0,129.0,177.0,113.0
TotRmsAbvGrd,60.0,283.0,36.0,24.0
Fireplaces,65.0,264.0,30.0,87.0
GarageYrBlt,106.0,290.0,184.0,17.0
GarageCars,20.0,241.0,53.0,90.0
GarageArea,25.0,285.0,38.0,7.0
WoodDeckSF,73.0,275.0,15.0,11.0
OpenPorchSF,94.0,282.0,26.0,14.0
EnclosedPorch,225.0,221.0,99.0,23.0
3SsnPorch,89.0,108.0,172.0,242.0
ScreenPorch,185.0,203.0,65.0,18.0
PoolArea,92.0,64.0,266.0,242.0
MiscVal,276.0,201.0,205.0,33.0
MoSold,164.0,296.0,3.0,15.0
YrSold,130.0,284.0,2.0,25.0
MSZoning_C (all),41.0,84.0,246.0,242.0
MSZoning_FV,35.0,41.0,104.0,69.0
MSZoning_RH,175.0,47.0,199.0,242.0
MSZoning_RL,134.0,242.0,86.0,132.0
MSZoning_RM,142.0,222.0,106.0,73.0
Street_Grvl,81.5,21.0,252.5,242.0
Street_Pave,81.5,37.0,252.5,242.0
Alley_Grvl,231.0,196.0,163.0,122.0
Alley_None,209.0,184.0,139.0,177.0
Alley_Pave,126.0,28.0,151.0,42.0
LotShape_IR1,101.0,268.0,5.0,98.0
LotShape_IR2,125.0,161.0,122.0,65.0
LotShape_IR3,39.0,16.0,211.0,242.0
LotShape_Reg,80.0,267.0,6.0,151.0
LandContour_Bnk,161.0,149.0,154.0,78.0
LandContour_HLS,28.0,100.0,137.0,40.0
LandContour_Low,198.0,183.0,181.0,74.0
LandContour_Lvl,111.0,213.0,118.0,175.0
Utilities_AllPub,267.0,167.0,292.0,242.0
Utilities_NoSeWa,268.0,135.0,291.0,242.0
LotConfig_Corner,167.0,248.0,19.0,88.0
LotConfig_CulDSac,68.0,207.0,55.0,83.0
LotConfig_FR2,180.0,63.0,97.0,52.0
LotConfig_FR3,173.0,34.0,247.0,242.0
LotConfig_Inside,160.0,273.0,18.0,143.0
LandSlope_Gtl,98.0,66.0,140.0,172.0
LandSlope_Mod,108.0,186.0,138.0,123.0
LandSlope_Sev,100.0,12.0,231.0,242.0
Neighborhood_Blmngtn,38.0,101.0,160.0,242.0
Neighborhood_Blueste,279.0,137.0,278.0,242.0
Neighborhood_BrDale,204.0,145.0,197.0,242.0
Neighborhood_BrkSide,143.0,166.0,130.0,70.0
Neighborhood_ClearCr,251.0,142.0,180.0,242.0
Neighborhood_CollgCr,58.0,165.0,12.0,28.0
Neighborhood_Crawfor,57.0,147.0,126.0,77.0
Neighborhood_Edwards,220.0,192.0,98.0,103.0
Neighborhood_Gilbert,166.0,171.0,71.0,32.0
Neighborhood_IDOTRR,176.0,65.0,174.0,39.0
Neighborhood_MeadowV,70.0,85.0,207.0,242.0
Neighborhood_Mitchel,205.0,99.0,111.0,46.0
Neighborhood_NAmes,192.0,224.0,63.0,109.0
Neighborhood_NPkVill,127.0,44.0,228.0,242.0
Neighborhood_NWAmes,228.0,138.0,95.0,47.0
Neighborhood_NoRidge,12.0,31.0,113.0,31.0
Neighborhood_NridgHt,13.0,163.0,88.0,61.0
Neighborhood_OldTown,177.0,200.0,134.0,125.0
Neighborhood_SWISU,217.0,125.0,190.0,242.0
Neighborhood_Sawyer,272.0,153.0,109.0,63.0
Neighborhood_SawyerW,110.0,76.0,105.0,30.0
Neighborhood_Somerst,32.0,111.0,91.0,130.0
Neighborhood_StoneBr,34.0,8.0,152.0,27.0
Neighborhood_Timber,66.0,144.0,121.0,54.0
Neighborhood_Veenker,9.0,17.0,206.0,242.0
Condition1_Artery,109.0,169.0,143.0,38.0
Condition1_Feedr,243.0,177.0,119.0,64.0
Condition1_Norm,202.0,228.0,102.0,129.0
Condition1_PosA,274.0,4.0,225.0,242.0
Condition1_PosN,90.0,74.0,179.0,242.0
Condition1_RRAe,214.0,86.0,200.0,242.0
Condition1_RRAn,234.0,121.0,158.0,242.0
Condition1_RRNe,266.0,133.0,273.0,242.0
Condition1_RRNn,287.0,32.0,235.0,242.0
Condition2_Artery,263.0,45.0,264.0,242.0
Condition2_Feedr,270.0,157.0,257.0,242.0
Condition2_Norm,199.0,23.0,245.0,242.0
Condition2_PosA,301.0,301.0,301.0,242.0
Condition2_PosN,22.0,79.0,262.0,242.0
Condition2_RRAe,297.5,114.0,293.5,242.0
Condition2_RRAn,3.5,172.0,276.0,242.0
Condition2_RRNn,301.0,297.0,301.0,242.0
BldgType_1Fam,158.0,219.0,96.0,179.0
BldgType_2fmCon,248.0,159.0,195.0,135.0
BldgType_Duplex,239.0,70.0,176.0,85.0
BldgType_Twnhs,213.0,89.0,128.0,76.0
BldgType_TwnhsE,112.0,181.0,83.0,146.0
HouseStyle_1.5Fin,154.0,216.0,107.0,86.0
HouseStyle_1.5Unf,162.0,104.0,202.0,242.0
HouseStyle_1Story,155.0,278.0,34.0,116.0
HouseStyle_2.5Fin,69.0,62.0,229.0,242.0
HouseStyle_2.5Unf,178.0,35.0,216.0,242.0
HouseStyle_2Story,104.0,258.0,33.0,170.0
HouseStyle_SFoyer,241.0,173.0,159.0,57.0
HouseStyle_SLvl,252.0,155.0,114.0,66.0
RoofStyle_Flat,250.0,29.0,230.0,242.0
RoofStyle_Gable,124.0,243.0,27.0,159.0
RoofStyle_Gambrel,122.0,27.0,208.0,242.0
RoofStyle_Hip,114.0,240.0,24.0,107.0
RoofStyle_Mansard,265.0,19.0,239.0,242.0
RoofStyle_Shed,286.0,46.0,283.0,242.0
RoofMatl_ClyTile,295.0,174.0,287.0,242.0
RoofMatl_CompShg,247.0,68.0,226.0,242.0
RoofMatl_Membran,301.0,301.0,301.0,242.0
RoofMatl_Metal,292.0,92.0,279.0,242.0
RoofMatl_Roll,281.5,52.0,280.0,242.0
RoofMatl_Tar&Grv,212.0,40.0,237.0,242.0
RoofMatl_WdShake,273.0,164.0,254.0,242.0
RoofMatl_WdShngl,96.0,59.0,243.0,242.0
Exterior1st_AsbShng,256.0,67.0,213.0,242.0
Exterior1st_AsphShn,293.0,136.0,281.0,242.0
Exterior1st_BrkComm,244.0,134.0,268.0,242.0
Exterior1st_BrkFace,168.0,75.0,147.0,92.0
Exterior1st_CBlock,279.0,179.0,297.5,242.0
Exterior1st_CemntBd,24.0,95.0,124.0,121.0
Exterior1st_HdBoard,218.0,237.0,68.0,144.0
Exterior1st_ImStucc,301.0,298.0,301.0,242.0
Exterior1st_MetalSd,195.0,214.0,80.0,120.0
Exterior1st_Plywood,224.0,197.0,115.0,68.0
Exterior1st_Stone,289.0,73.0,282.0,242.0
Exterior1st_Stucco,99.0,97.0,192.0,242.0
Exterior1st_VinylSd,63.0,254.0,52.0,154.0
Exterior1st_Wd Sdng,159.0,230.0,93.0,126.0
Exterior1st_WdShing,261.0,91.0,182.0,242.0
Exterior2nd_AsbShng,245.0,131.0,203.0,242.0
Exterior2nd_AsphShn,294.0,162.0,263.0,242.0
Exterior2nd_Brk Cmn,156.0,117.0,242.0,242.0
Exterior2nd_BrkFace,93.0,106.0,185.0,242.0
Exterior2nd_CBlock,279.0,130.0,297.5,242.0
Exterior2nd_CmentBd,21.0,176.0,127.0,100.0
Exterior2nd_HdBoard,229.0,225.0,76.0,105.0
Exterior2nd_ImStucc,246.0,3.0,227.0,242.0
Exterior2nd_MetalSd,181.0,227.0,78.0,108.0
Exterior2nd_Other,3.5,50.0,270.0,242.0
Exterior2nd_Plywood,222.0,215.0,92.0,141.0
Exterior2nd_Stone,284.0,43.0,255.0,242.0
Exterior2nd_Stucco,103.0,96.0,196.0,29.0
Exterior2nd_VinylSd,62.0,252.0,47.0,163.0
Exterior2nd_Wd Sdng,152.0,223.0,90.0,137.0
Exterior2nd_Wd Shng,211.0,151.0,142.0,51.0
MasVnrType_BrkCmn,210.0,38.0,193.0,242.0
MasVnrType_BrkFace,133.0,269.0,14.0,133.0
MasVnrType_None,97.0,265.0,22.0,165.0
MasVnrType_Stone,36.0,154.0,40.0,142.0
ExterQual_Ex,15.0,1.0,133.0,82.0
ExterQual_Fa,233.0,116.0,241.0,242.0
ExterQual_Gd,26.0,232.0,32.0,166.0
ExterQual_TA,27.0,247.0,42.0,169.0
ExterCond_Ex,262.0,102.0,261.0,242.0
ExterCond_Fa,171.0,87.0,191.0,62.0
ExterCond_Gd,183.0,212.0,84.0,91.0
ExterCond_Po,3.5,140.0,275.0,242.0
ExterCond_TA,165.0,272.0,89.0,158.0
Foundation_BrkTil,179.0,217.0,120.0,150.0
Foundation_CBlock,102.0,271.0,70.0,138.0
Foundation_PConc,55.0,256.0,74.0,131.0
Foundation_Slab,37.0,88.0,217.0,242.0
Foundation_Stone,29.0,5.0,236.0,242.0
Foundation_Wood,285.0,10.0,240.0,242.0
BsmtQual_Ex,19.0,25.0,64.0,164.0
BsmtQual_Fa,193.0,139.0,166.0,53.0
BsmtQual_Gd,52.0,255.0,35.0,119.0
BsmtQual_None,47.0,107.0,220.0,101.0
BsmtQual_TA,64.0,261.0,72.0,171.0
BsmtCond_Fa,141.0,194.0,153.0,56.0
BsmtCond_Gd,138.0,90.0,94.0,55.0
BsmtCond_None,47.0,110.0,220.0,242.0
BsmtCond_Po,3.5,82.0,285.0,242.0
BsmtCond_TA,119.0,210.0,103.0,167.0
BsmtExposure_Av,67.0,229.0,8.0,71.0
BsmtExposure_Gd,72.0,168.0,57.0,124.0
BsmtExposure_Mn,75.0,205.0,45.0,79.0
BsmtExposure_No,113.0,262.0,13.0,176.0
BsmtExposure_None,47.0,128.0,220.0,242.0
BsmtFinType1_ALQ,191.0,218.0,43.0,81.0
BsmtFinType1_BLQ,237.0,206.0,61.0,106.0
BsmtFinType1_GLQ,61.0,236.0,9.0,117.0
BsmtFinType1_LwQ,188.0,56.0,116.0,95.0
BsmtFinType1_None,47.0,53.0,220.0,242.0
BsmtFinType1_Rec,221.0,202.0,79.0,93.0
BsmtFinType1_Unf,148.0,257.0,11.0,149.0
BsmtFinType2_ALQ,197.0,36.0,175.0,242.0
BsmtFinType2_BLQ,257.0,48.0,171.0,242.0
BsmtFinType2_GLQ,264.0,14.0,214.0,242.0
BsmtFinType2_LwQ,201.0,182.0,131.0,41.0
BsmtFinType2_None,47.0,51.0,220.0,242.0
BsmtFinType2_Rec,226.0,118.0,135.0,89.0
BsmtFinType2_Unf,190.0,231.0,112.0,174.0
Heating_Floor,3.5,180.0,277.0,242.0
Heating_GasA,146.0,69.0,212.0,72.0
Heating_GasW,223.0,78.0,215.0,242.0
