iter	MultiClass
0	4.530101935
1	4.477101808
2	4.436442343
3	4.404096253
4	4.377803731
5	4.356118791
6	4.338043772
7	4.322855432
8	4.310010727
9	4.299091083
10	4.289767276
11	4.281776185
12	4.274904794
13	4.268978841
14	4.263854532
15	4.259412369
16	4.255552453
17	4.252190851
18	4.249256753
19	4.246690205
20	4.244440292
21	4.242463659
22	4.240723312
23	4.239187613
24	4.237829463
25	4.236625607
26	4.235556063
27	4.234603635
28	4.233753503
29	4.23299288
30	4.232310716
31	4.23169745
32	4.231144799
33	4.230645577
34	4.230193539
35	4.229783254
36	4.229409986
37	4.229069605
38	4.228758499
39	4.228473508
40	4.22821186
41	4.227971119
42	4.227749144
43	4.227544045
44	4.227354157
45	4.227178004
46	4.227014279
47	4.226861823
48	4.226719605
49	4.226586704
50	4.226462302
51	4.226345665
52	4.226236135
53	4.226133123
54	4.226036098
55	4.225944583
56	4.225858148
57	4.225776402
58	4.225698993
59	4.225625601
60	4.225555936
61	4.225489732
62	4.225426749
63	4.225366767
64	4.225309585
65	4.225255017
66	4.225202895
67	4.225153064
68	4.225105381
69	4.225059714
70	4.225015941
71	4.224973952
72	4.22493364
73	4.224894912
74	4.224857677
75	4.224821853
76	4.224787363
77	4.224754136
78	4.224722104
79	4.224691206
80	4.224661384
81	4.224632584
82	4.224604754
83	4.224577848
84	4.22455182
85	4.22452663
86	4.224502237
87	4.224478606
88	4.224455701
89	4.22443349
90	4.224411942
91	4.224391028
92	4.224370721
93	4.224350995
94	4.224331825
95	4.224313189
96	4.224295065
97	4.224277431
98	4.22426027
99	4.224243561
100	4.224227287
101	4.224211432
102	4.224195979
103	4.224180914
104	4.224166223
105	4.22415189
106	4.224137905
107	4.224124253
108	4.224110924
109	4.224097905
110	4.224085187
111	4.224072759
112	4.224060611
113	4.224048734
114	4.224037119
115	4.224025757
116	4.22401464
117	4.22400376
118	4.223993111
119	4.223982683
120	4.223972471
121	4.223962468
122	4.223952668
123	4.223943065
124	4.223933652
125	4.223924424
126	4.223915375
127	4.223906501
128	4.223897797
129	4.223889257
130	4.223880877
131	4.223872653
132	4.22386458
133	4.223856654
134	4.223848871
135	4.223841228
136	4.22383372
137	4.223826344
138	4.223819097
139	4.223811975
140	4.223804975
141	4.223798094
142	4.223791329
143	4.223784677
144	4.223778135
145	4.223771701
146	4.223765372
147	4.223759144
148	4.223753017
149	4.223746988
150	4.223741053
151	4.223735212
152	4.223729462
153	4.2237238
154	4.223718225
155	4.223712735
156	4.223707327
157	4.223702001
158	4.223696754
159	4.223691584
160	4.22368649
161	4.22368147
162	4.223676523
163	4.223671647
164	4.22366684
165	4.223662101
166	4.223657429
167	4.223652822
168	4.223648279
169	4.223643798
170	4.223639379
171	4.22363502
172	4.223630719
173	4.223626476
174	4.22362229
175	4.22361816
176	4.223614083
177	4.22361006
178	4.223606089
179	4.22360217
180	4.2235983
181	4.22359448
182	4.223590709
183	4.223586985
184	4.223583307
185	4.223579675
186	4.223576089
187	4.223572546
188	4.223569046
189	4.22356559
190	4.223562174
191	4.2235588
192	4.223555467
193	4.223552172
194	4.223548917
195	4.2235457
196	4.22354252
197	4.223539378
198	4.223536271
199	4.223533201
200	4.223530165
201	4.223527164
202	4.223524196
203	4.223521263
204	4.223518361
205	4.223515492
206	4.223512655
207	4.223509849
208	4.223507074
209	4.223504329
210	4.223501613
211	4.223498927
212	4.22349627
213	4.22349364
214	4.223491039
215	4.223488465
216	4.223485919
217	4.223483398
218	4.223480905
219	4.223478436
220	4.223475994
221	4.223473576
222	4.223471183
223	4.223468814
