iter	Passed	Remaining
0	57	57890
1	110	54933
2	156	52108
3	213	53056
4	280	55829
5	333	55247
6	383	54462
7	425	52823
8	467	51517
9	505	50074
10	548	49318
11	591	48662
12	634	48156
13	676	47617
14	719	47222
15	761	46831
16	802	46392
17	843	46006
18	886	45790
19	930	45614
20	975	45461
21	1016	45173
22	1057	44934
23	1098	44687
24	1139	44452
25	1183	44350
26	1223	44092
27	1263	43878
28	1332	44629
29	1382	44715
30	1424	44539
31	1465	44321
32	1506	44144
33	1545	43915
34	1595	43994
35	1640	43941
36	1680	43746
37	1725	43682
38	1766	43527
39	1806	43352
40	1847	43205
41	1887	43043
42	1928	42912
43	1968	42776
44	2009	42643
45	2050	42533
46	2090	42387
47	2135	42355
48	2179	42297
49	2219	42169
50	2261	42083
51	2304	42005
52	2344	41884
53	2387	41828
54	2428	41733
55	2470	41644
56	2511	41542
57	2553	41472
58	2597	41428
59	2640	41366
60	2681	41283
61	2724	41220
62	2767	41157
63	2808	41078
64	2850	40997
65	2897	41006
66	2938	40919
67	2979	40835
68	3018	40725
69	3060	40662
70	3102	40591
71	3145	40540
72	3188	40484
73	3229	40417
74	3272	40356
75	3313	40280
76	3355	40225
77	3395	40140
78	3439	40092
79	3479	40019
80	3523	39974
81	3564	39905
82	3608	39865
83	3649	39798
84	3693	39762
85	3735	39695
86	3775	39621
87	3817	39560
88	3857	39480
89	3897	39404
90	3939	39347
91	3981	39299
92	4023	39242
93	4064	39177
94	4107	39130
95	4151	39091
96	4192	39032
97	4236	38994
98	4277	38931
99	4319	38875
100	4362	38834
101	4403	38771
102	4446	38725
103	4488	38669
104	4528	38595
105	4569	38541
106	4610	38477
107	4650	38411
108	4692	38355
109	4733	38300
110	4775	38248
111	4817	38194
112	4858	38139
113	4902	38100
114	4945	38060
115	4985	37990
116	5029	37955
117	5075	37936
118	5117	37888
119	5159	37833
120	5200	37775
121	5241	37723
122	5283	37670
123	5326	37628
124	5368	37580
125	5409	37520
126	5450	37463
127	5490	37405
128	5531	37346
129	5574	37306
130	5615	37247
131	5656	37196
132	5697	37142
133	5743	37116
134	5784	37061
135	5826	37015
136	5866	36956
137	5908	36908
138	5949	36855
139	5991	36806
140	6033	36755
141	6072	36689
142	6113	36636
143	6152	36572
144	6192	36515
145	6233	36463
146	6272	36396
147	6311	36336
148	6352	36284
149	6393	36231
150	6433	36172
151	6474	36121
152	6515	36066
153	6555	36011
154	6596	35963
155	6636	35904
156	6677	35854
157	6719	35810
158	6759	35751
159	6800	35704
160	6844	35670
161	6887	35626
162	6929	35580
163	6972	35541
164	7013	35492
165	7054	35442
166	7094	35386
167	7133	35329
168	7174	35278
169	7215	35228
170	7255	35175
171	7296	35126
172	7345	35112
173	7387	35071
174	7429	35026
175	7472	34984
176	7513	34936
177	7555	34891
178	7595	34838
179	7636	34787
180	7679	34746
181	7723	34711
182	7763	34660
183	7804	34609
184	7845	34562
185	7887	34519
186	7928	34470
187	7970	34426
188	8014	34390
189	8055	34341
190	8096	34293
191	8136	34240
192	8178	34197
193	8218	34146
194	8261	34104
195	8306	34073
196	8348	34027
197	8391	33987
198	8431	33937
199	8471	33884
200	8513	33840
201	8556	33801
202	8597	33754
203	8638	33707
204	8678	33655
205	8719	33608
206	8760	33561
207	8801	33512
208	8841	33462
209	8884	33420
210	8924	33371
211	8965	33325
212	9008	33283
213	9048	33236
214	9091	33193
215	9132	33148
216	9172	33097
217	9214	33052
218	9256	33011
219	9297	32965
220	9339	32922
221	9382	32882
222	9425	32840
223	9465	32792
