orig_destination_distance,hotel_continent,hotel_country,hotel_market,length_of_stay,srch_destination_id,is_package,srch_destination_type_id,srch_children_cnt,user_location_region,user_location_country_66,posa_continent_3,srch_ci_DoW_Tuesday,is_booking,srch_adults_cnt,srch_ci_DoW_Monday,site_name_2,date_time_MoY_May,is_mobile,cnt,date_time_DoW_Thursday,date_time_MoY_December
2234.2641,2,1,628,4,8250,0,1,0,348,1,1,0,0,2,0,1,0,0,1,0,0
341.2798,2,0,397,1,8287,0,1,0,348,1,1,0,0,2,0,1,0,0,2,0,0
45.6136,2,0,397,1,12951,0,5,0,354,0,1,1,0,2,0,0,0,0,1,1,0
105.9578,2,1,675,2,45631,0,6,0,363,1,1,0,0,2,0,1,0,0,1,0,1
22.9187,2,1,688,1,25703,0,6,0,314,1,1,1,0,2,0,1,0,0,1,0,1
2568.5292,2,1,675,5,8267,0,1,0,174,1,1,1,0,1,0,1,1,0,4,0,0
3672.3351,6,0,8,2,8234,0,1,0,385,0,1,1,0,2,0,0,1,1,2,0,0
53.3972,2,0,750,1,14875,0,1,0,354,0,1,0,0,2,0,0,0,0,1,0,0
149.9226,2,1,699,1,12495,0,5,0,220,1,1,0,0,2,0,0,0,0,1,1,1
3365.2743,2,1,675,5,8267,1,1,0,142,1,1,0,0,1,0,1,0,1,1,0,0
2224.9265,2,1,591,1,11361,0,1,0,462,1,1,0,0,2,0,1,0,0,1,0,0
491.5016,2,1,645,3,8258,0,1,1,442,1,1,0,0,2,0,1,0,1,1,0,0
1699.8316,4,0,199,6,11372,1,1,0,330,0,1,0,0,5,0,0,0,0,1,0,0
7324.8112,3,0,230,1,12682,0,5,0,174,1,1,0,0,2,0,1,0,1,1,0,0
2553.2181,2,1,213,7,8855,0,1,0,174,1,1,0,0,4,0,1,0,0,1,0,0
1665.1865,2,1,1266,6,26870,0,1,3,174,1,1,1,0,2,0,1,0,0,1,0,0
28.9395,2,1,699,1,12495,0,5,2,220,1,1,0,0,2,0,1,0,1,1,1,0
5634.5868,6,0,278,2,21918,0,6,1,174,1,1,0,0,2,0,1,0,0,2,1,0
917.1684,2,1,700,4,11854,0,1,0,314,1,1,0,0,1,1,1,0,0,1,0,1
1112.2481,2,1,686,2,12008,0,1,2,354,0,1,0,0,2,0,0,0,0,1,0,0
1606.7027,4,0,126,3,5405,1,6,0,348,1,1,0,0,2,0,1,0,0,1,0,0
540.3235,2,1,546,1,13378,0,4,0,351,1,1,0,0,1,0,1,0,0,1,0,0
2417.3617,2,1,355,1,8834,0,1,0,448,1,1,0,0,4,1,1,0,0,1,0,0
1263.8092,2,1,659,4,8272,1,1,3,321,1,1,0,0,2,1,1,0,0,1,0,0
1858.025,2,1,411,5,12228,0,6,0,174,1,1,0,0,1,0,1,0,0,1,0,0
4094.5652,6,0,28,1,21545,0,6,0,337,1,1,0,0,2,0,1,0,0,2,0,0
1051.1417,4,0,110,5,12188,1,6,1,442,1,1,0,0,3,0,1,0,0,5,0,0
4417.2394,6,0,19,3,8253,0,1,1,220,1,1,0,0,2,0,1,0,0,1,0,0
509.0136,2,1,1633,1,44976,0,1,1,184,1,1,0,0,1,0,1,0,0,1,0,0
1025.2287,2,1,566,3,27262,0,1,0,435,1,1,0,0,2,0,1,0,0,2,0,1
2451.267,2,1,675,2,8267,0,1,0,174,1,1,0,1,2,0,1,0,0,1,0,0
4353.9506,3,0,70,2,921,0,1,0,500,0,0,0,0,5,0,0,0,0,1,0,0
354.7742,2,1,623,3,42524,0,3,0,354,0,1,0,0,2,0,0,0,0,2,0,0
1036.5759,2,1,628,1,8250,0,1,0,135,0,1,0,0,2,0,0,0,0,1,0,0
1599.7293,2,1,355,1,12688,0,5,0,442,1,1,0,0,2,0,1,0,0,1,0,0
5945.6071,5,0,253,1,18788,1,1,0,347,0,0,0,0,2,0,0,0,0,1,0,0
4384.0566,6,0,12,2,8740,0,1,1,354,0,1,1,0,2,0,0,0,0,1,0,0
472.5575,2,1,447,1,3949,0,3,0,331,1,1,0,0,2,0,1,0,0,1,0,0
1054.5685,2,1,703,1,12745,0,5,1,322,1,1,0,0,4,0,1,0,0,1,0,0
1470.3957,2,1,412,4,12261,0,6,0,174,1,1,0,0,1,0,1,0,1,1,0,0
5149.8164,6,0,1463,1,22074,0,6,0,155,0,1,0,1,2,0,0,0,0,1,0,0
1756.5409,2,1,368,1,8278,0,1,0,143,1,1,0,0,2,0,1,0,0,1,0,0
230.3014,2,1,628,4,12206,0,6,0,174,1,1,0,0,2,1,1,0,0,1,1,0
0.2628,2,1,637,3,8230,0,1,0,258,1,1,0,0,2,1,1,0,0,1,0,0
4280.8154,2,1,682,6,8268,0,1,0,416,0,0,0,0,2,0,0,0,0,1,0,0
189.3273,2,1,604,1,1751,0,1,3,220,1,1,0,0,2,0,0,0,0,1,0,1
3775.7876,4,0,1508,7,8864,1,1,0,142,1,1,0,0,2,0,1,0,0,1,1,0
1847.7828,2,1,503,1,8802,0,1,0,348,1,1,0,0,2,0,1,1,1,1,0,0
711.2303,2,0,384,1,8262,0,1,0,331,1,1,0,1,2,1,1,0,0,1,0,0
119.7851,2,1,663,1,12273,0,6,3,155,0,1,0,0,3,0,0,0,0,2,0,1
813.4553,2,1,903,12,26537,0,6,0,322,1,1,0,0,1,0,1,0,0,1,0,0
18.7189,2,1,682,1,12239,0,6,0,220,1,1,0,0,2,0,1,0,0,1,1,0
884.2959,2,1,675,3,8267,0,1,0,322,1,1,1,0,4,0,1,0,0,1,0,1
1707.7596,4,0,1600,7,9600,1,1,1,311,1,1,0,0,3,0,1,1,0,1,1,0
821.8511,2,1,947,2,23654,0,6,0,442,1,1,1,0,1,0,1,0,0,1,0,0
706.4574,2,1,637,2,8230,1,1,0,337,1,1,0,0,1,0,1,0,0,1,0,0
2445.296,4,0,1509,1,8814,1,1,0,354,0,1,0,0,2,0,0,0,0,1,0,0
4.485,2,0,1167,2,30523,0,6,0,354,0,1,0,0,2,0,0,0,0,1,0,0
5030.0486,6,0,27,1,12246,0,6,0,442,1,1,1,0,2,0,1,0,0,1,0,0
1920.464,2,1,688,2,8219,0,1,1,500,0,1,0,0,1,0,1,0,0,2,1,0
65.5539,2,1,367,1,9147,0,1,0,174,1,1,0,0,2,0,1,0,0,2,0,0
769.2363,6,0,245,4,8245,1,1,0,329,0,0,0,0,2,0,0,0,1,1,0,1
7653.1337,3,0,1493,4,12913,0,5,1,462,1,1,0,0,2,0,1,1,0,1,0,0
48.9176,2,1,369,2,24300,0,6,0,174,1,1,0,0,1,0,1,0,0,2,1,0
1126.0289,2,1,682,3,8268,1,1,0,311,1,1,0,0,2,1,1,0,0,1,0,0
1587.8236,4,0,1509,3,12839,1,5,0,448,1,1,0,0,3,0,1,0,0,1,0,0
648.1749,2,1,1230,4,8279,1,1,0,462,1,1,0,0,2,0,1,0,0,1,0,0
401.6764,2,1,628,3,8250,1,1,1,174,1,1,0,0,2,0,1,0,0,2,0,0
425.0003,2,1,455,1,263,0,1,3,351,1,1,0,0,2,0,1,0,0,3,0,0
287.1194,2,1,628,2,8250,0,1,0,174,1,1,1,0,2,0,1,0,0,1,0,0
8.9932,2,1,656,1,12452,0,5,0,184,1,1,1,0,1,0,1,0,0,4,0,0
5434.8832,6,0,1525,1,36211,0,4,0,155,0,0,0,0,3,1,0,0,0,5,1,0
1149.4908,2,0,404,6,45120,0,1,1,155,0,1,1,0,1,0,0,0,0,1,0,0
5485.8124,6,0,246,2,4,0,1,1,174,1,1,0,1,2,0,1,0,1,1,0,0
2420.5464,2,0,399,1,26414,0,6,0,337,1,1,0,0,2,0,1,0,1,2,0,0
580.9298,4,0,1501,0,12590,1,5,0,220,1,1,0,0,1,0,1,0,0,1,0,0
187.8938,2,1,690,1,64940,0,6,0,348,1,1,0,0,2,1,1,0,0,1,0,0
6072.467,6,0,245,4,8245,0,1,0,462,1,1,0,0,2,0,1,1,0,1,1,0
214.083,6,0,27,3,12245,0,6,0,347,0,1,0,0,2,0,1,0,0,1,0,0
328.9555,2,0,384,3,8262,1,1,0,348,1,1,0,0,2,0,1,0,0,1,0,0
3831.2096,2,1,212,5,669,0,3,0,352,1,1,0,0,1,0,1,0,0,1,1,0
1522.4222,4,0,1503,7,11439,1,1,0,363,1,1,0,0,2,0,1,0,0,1,0,0
1585.3272,4,0,110,3,8791,1,1,0,354,0,1,0,0,1,0,0,0,0,1,0,0
2374.3135,2,1,628,2,8250,1,1,0,311,1,1,0,0,1,1,1,0,0,2,0,0
1526.2966,4,0,1357,6,1916,1,1,0,174,1,1,0,0,2,0,1,0,0,1,0,0
429.806,6,0,306,2,3404,0,6,1,229,0,0,0,1,2,0,0,0,0,1,0,0
2568.8603,2,1,1230,1,12267,0,6,0,337,1,1,0,0,1,0,1,0,0,1,0,0
5001.1488,0,0,59,7,8863,1,1,0,352,1,1,0,0,2,0,1,0,0,4,1,0
91.8805,2,1,947,1,23672,0,6,0,153,1,1,0,0,2,0,1,0,0,1,0,0
2576.0593,2,1,690,4,8223,0,1,0,174,1,1,0,1,2,0,1,1,0,1,0,0
5668.2032,6,0,1414,5,1536,0,1,1,220,1,1,1,0,2,0,1,0,0,1,0,0
228.0526,2,1,663,1,8281,0,1,0,462,1,1,0,1,2,1,1,0,0,1,0,0
37.5591,2,1,1230,1,47429,0,3,0,174,1,1,0,0,1,0,1,0,0,1,1,0
1528.9937,4,0,1532,1,8810,0,1,0,322,1,1,0,0,2,0,1,0,1,1,0,0
5978.0524,6,0,245,1,28610,0,6,0,155,0,1,0,0,3,0,0,0,0,1,1,0
2143.3389,4,0,1532,11,8810,1,1,0,354,0,1,0,0,2,1,0,0,0,4,0,1
184.55,2,1,1560,1,12516,0,5,0,184,1,1,0,1,2,0,1,0,0,1,0,0
942.0108,4,0,118,5,8824,1,1,0,174,1,1,0,0,2,0,1,0,0,1,0,0
1670.0852,4,0,1508,2,8864,0,1,0,311,1,1,1,0,1,0,1,0,0,1,0,0
4294.1228,6,0,1518,6,20590,0,6,0,311,1,1,0,0,1,0,1,0,0,1,1,0
187.9104,2,1,192,4,8249,0,1,0,254,1,1,0,0,2,0,1,0,0,2,0,1
1640.7848,4,0,193,7,14801,1,1,0,348,1,1,1,0,2,0,1,0,0,1,1,0
1762.4253,4,0,111,7,8825,1,3,0,311,1,1,0,0,2,0,1,0,0,1,0,1
252.8442,2,1,743,1,8218,0,1,0,442,1,1,1,0,1,0,1,1,0,1,0,0
1568.4497,4,0,1503,7,11439,1,1,0,363,1,1,0,0,2,0,1,0,0,2,0,0
1075.7523,2,1,682,3,8268,0,1,1,354,0,1,0,0,2,0,0,1,0,2,0,0
4109.1044,3,0,69,5,8803,1,1,0,500,0,0,0,0,1,1,0,0,0,1,0,0
1356.0018,2,1,433,1,212,0,1,0,348,1,1,0,0,2,0,1,0,1,4,0,0
1363.8051,4,0,110,4,8791,1,1,0,314,1,1,0,0,2,0,1,0,0,3,0,0
1319.263,4,0,1455,7,11373,1,1,1,318,1,1,0,0,2,0,1,0,0,2,0,0
2470.1276,2,1,589,3,11752,0,1,1,174,1,1,0,0,2,0,1,0,0,1,0,0
1167.9329,2,1,701,3,8260,1,1,2,318,1,1,0,0,1,0,1,0,1,2,0,1
5835.0244,6,0,236,3,21824,0,6,0,153,1,1,0,0,1,0,1,0,0,2,0,0
1775.5848,2,1,659,3,12757,1,5,0,331,1,1,0,0,1,0,1,0,0,1,0,0
2501.0185,3,0,153,6,468,1,1,2,189,0,0,0,0,2,0,0,0,0,1,0,0
253.6935,2,0,371,1,8228,0,1,1,155,0,1,1,1,1,0,0,0,0,1,0,0
42.6983,2,1,366,2,44690,0,6,0,174,1,1,0,0,2,0,1,0,0,1,0,0
2718.1422,2,1,1457,2,14984,0,1,0,462,1,1,0,0,1,0,1,0,0,2,0,0
255.7438,2,1,412,3,8277,1,1,0,442,1,1,0,0,2,0,1,0,0,1,0,0
