orig_destination_distance,hotel_continent,hotel_country,hotel_market,srch_destination_id,length_of_stay,srch_destination_type_id,user_location_country_66,user_location_region,site_name_2,is_package,channel,srch_children_cnt,srch_adults_cnt,posa_continent_3,is_booking,user_location_city,cnt,date_time_MoY_January,date_time_MoY_July,date_time_MoY_June,srch_co_DoW_Friday,srch_rm_cnt
2234.2641,2,1,628,8250,4,1,1,348,1,0,9,0,2,1,0,48862,1,0,0,0,0,1
7311.9666,3,0,153,468,5,1,1,260,1,1,1,1,1,1,0,19022,1,0,0,0,0,1
761.0443,4,0,120,8805,7,1,1,153,1,1,2,1,2,1,0,50542,1,0,0,0,0,1
4703.5435,2,1,212,8859,7,1,1,220,1,0,2,0,1,1,0,43026,1,0,0,0,0,1
341.2798,2,0,397,8287,1,1,1,348,1,0,3,0,2,1,0,48862,2,0,0,0,0,1
45.6136,2,0,397,12951,1,5,0,354,0,0,5,0,2,1,0,43201,1,0,0,1,0,1
1198.6898,2,1,699,12495,1,5,0,354,0,0,5,1,4,1,0,43201,1,0,0,0,0,2
1524.1427,2,1,683,28499,1,6,1,153,1,0,9,2,2,1,0,21067,1,0,0,0,0,1
105.9578,2,1,675,45631,2,6,1,363,1,0,9,0,2,1,0,25671,1,0,0,0,0,1
4136.0832,6,0,27,44035,3,6,1,258,1,0,9,0,4,1,0,4687,1,0,0,0,0,2
7951.5717,3,0,46,8220,1,1,1,174,1,0,3,0,2,1,0,39024,1,0,0,0,0,1
667.7203,2,1,675,8267,3,1,1,403,1,1,5,1,6,1,0,50364,1,0,0,0,0,3
7550.6983,5,0,1462,1918,2,1,0,385,0,0,9,0,2,1,0,50682,3,0,0,0,0,1
424.5378,2,0,384,26227,1,6,0,330,0,0,9,0,1,1,0,34157,1,0,0,0,1,1
316.0372,2,1,419,16,3,1,1,331,1,0,9,0,1,1,1,54953,1,0,0,0,1,1
1782.236,4,0,200,12311,4,5,1,337,1,0,5,0,2,1,0,25954,2,0,0,0,0,1
397.629,2,0,1661,25828,2,1,0,343,0,0,5,0,1,1,0,12170,2,0,0,0,0,1
444.7183,2,1,1230,12267,1,6,1,174,1,0,9,3,4,1,0,5938,1,0,0,0,0,2
428.4071,2,1,1241,24690,1,6,1,174,1,0,9,3,4,1,0,5938,4,0,0,0,0,2
340.5964,2,1,659,23682,2,6,1,174,1,0,2,0,1,1,0,9890,1,0,0,0,0,1
4833.734,2,1,212,669,9,3,1,196,1,0,1,1,2,1,0,2428,1,0,0,0,0,1
22.9187,2,1,688,25703,1,6,1,314,1,0,9,0,2,1,0,4868,1,0,0,0,0,1
452.5683,6,0,19,944,4,3,0,171,0,1,9,0,2,0,0,43387,1,0,1,0,0,1
1213.0506,2,1,350,8216,3,1,1,184,1,0,0,0,1,1,0,18716,1,0,0,0,0,1
1507.1891,2,1,581,14808,1,1,1,153,1,0,9,0,3,1,0,23511,1,0,0,1,0,1
1235.6843,6,0,245,8245,3,1,0,245,0,1,9,0,2,0,0,37877,1,0,0,0,0,1
1030.4079,2,1,435,11951,3,1,1,174,1,1,2,0,1,1,0,2360,2,0,0,0,0,1
8104.7351,3,0,153,468,5,1,1,174,1,0,3,0,3,1,0,9351,1,0,0,0,0,1
198.4601,2,1,682,8268,2,1,1,220,1,0,1,0,5,1,0,2086,1,0,0,0,0,1
191.0072,2,1,745,32719,2,4,1,442,1,0,9,2,2,1,0,28620,2,0,0,1,0,1
1172.3724,2,1,411,8266,4,1,1,348,1,1,9,0,2,1,1,48862,1,0,0,0,0,1
185.8869,2,1,412,12261,1,6,1,442,1,0,9,0,2,1,0,35390,19,0,0,0,0,1
5699.4528,6,0,141,12583,10,5,1,220,1,0,9,0,1,1,0,2086,1,0,0,0,1,1
48.7829,2,1,537,4716,1,3,1,311,1,0,9,0,2,1,0,48189,1,0,0,1,0,1
361.4862,2,1,628,8250,2,1,1,174,1,0,9,0,2,1,0,37838,2,1,0,0,0,1
2568.5292,2,1,675,8267,5,1,1,174,1,0,9,0,1,1,0,26232,4,0,0,0,0,1
2987.9323,4,0,1503,16864,3,5,0,312,0,0,9,0,2,1,0,13288,2,0,0,0,1,1
405.4928,2,0,404,45120,2,1,0,312,0,0,4,0,2,1,0,13288,1,0,0,0,0,1
346.0411,2,1,1230,3564,1,3,1,174,1,0,8,0,1,1,0,10377,1,0,0,0,0,1
874.5379,4,0,110,8791,3,1,1,226,0,1,5,0,3,1,0,31432,1,0,1,0,0,1
3672.3351,6,0,8,8234,2,1,0,385,0,0,9,0,2,1,0,47462,2,0,0,0,0,1
4784.907,6,0,19,8253,4,1,1,462,1,0,9,2,3,1,0,52482,1,0,0,0,0,2
161.599,2,1,627,24375,4,6,1,174,1,0,0,0,2,1,0,52276,1,0,1,0,0,1
53.3972,2,0,750,14875,1,1,0,354,0,0,9,0,2,1,0,53713,1,0,0,0,0,1
162.0108,2,1,568,41516,1,4,1,314,1,0,2,0,1,1,0,18442,1,0,0,0,0,1
149.9226,2,1,699,12495,1,5,1,220,0,0,9,0,2,1,0,31825,1,0,0,0,0,1
3365.2743,2,1,675,8267,5,1,1,142,1,1,0,0,1,1,0,17440,1,0,1,0,1,1
4894.564,6,0,1808,21676,1,6,1,435,1,0,9,0,2,1,0,16159,1,0,1,0,0,1
586.2486,2,1,406,12192,4,6,1,340,1,0,1,0,2,1,0,43356,1,0,0,0,0,1
2402.3685,2,1,705,11848,4,1,1,174,1,1,2,0,2,1,0,35675,1,0,0,0,0,1
952.6546,2,1,675,8267,3,1,1,220,1,0,2,0,2,1,0,1437,1,0,0,0,0,1
51.5891,2,1,639,27256,1,6,1,351,1,0,9,0,2,1,0,51298,1,0,0,1,0,1
