feat,f,mi,logreg,lightgbm
site_name_2,9.0,12.0,5.0,21.0
posa_continent_3,6.0,11.0,11.0,53.0
user_location_country_66,8.0,13.0,9.0,17.0
53,16.0,8.0,17.0,5.0
user_location_city,44.0,9.0,33.0,7.0
orig_destination_distance,3.0,4.0,3.0,1.0
is_mobile,18.0,25.0,25.0,46.0
is_package,4.0,7.0,4.0,36.0
channel,25.0,14.0,20.0,2.0
length_of_stay,5.0,6.0,10.0,3.0
srch_adults_cnt,17.0,15.0,13.0,24.0
srch_children_cnt,12.0,18.0,14.0,20.0
srch_rm_cnt,28.0,29.0,12.0,15.0
srch_destination_id,10.0,2.0,7.0,4.0
srch_destination_type_id,11.0,10.0,8.0,9.0
is_booking,13.0,16.0,15.0,39.0
cnt,15.0,17.0,16.0,13.0
hotel_continent,2.0,3.0,2.0,10.0
hotel_country,1.0,5.0,1.0,12.0
hotel_market,7.0,1.0,6.0,6.0
date_time_DoW_Friday,47.0,26.0,38.0,11.0
date_time_DoW_Monday,50.0,53.0,50.0,44.0
date_time_DoW_Saturday,46.0,37.0,43.0,49.0
date_time_DoW_Sunday,52.0,34.0,52.0,47.0
date_time_DoW_Thursday,51.0,53.0,48.0,18.0
date_time_DoW_Tuesday,53.0,28.0,53.0,26.0
date_time_DoW_Wednesday,48.0,53.0,49.0,30.0
date_time_MoY_April,30.0,30.0,26.0,33.0
date_time_MoY_August,45.0,23.0,45.0,28.0
date_time_MoY_December,23.0,24.0,19.0,19.0
date_time_MoY_February,33.0,53.0,22.0,38.0
date_time_MoY_January,21.0,53.0,18.0,35.0
date_time_MoY_July,31.0,53.0,28.0,27.0
date_time_MoY_June,27.0,32.0,23.0,23.0
date_time_MoY_March,40.0,53.0,31.0,48.0
date_time_MoY_May,34.0,22.0,21.0,34.0
date_time_MoY_November,49.0,36.0,39.0,45.0
date_time_MoY_October,36.0,53.0,30.0,25.0
date_time_MoY_September,43.0,19.0,34.0,40.0
srch_ci_DoW_Friday,20.0,53.0,46.0,32.0
srch_ci_DoW_Monday,19.0,31.0,29.0,52.0
srch_ci_DoW_Saturday,29.0,38.0,37.0,50.0
srch_ci_DoW_Sunday,39.0,53.0,41.0,42.0
srch_ci_DoW_Thursday,22.0,53.0,27.0,51.0
srch_ci_DoW_Tuesday,37.0,53.0,35.0,31.0
srch_ci_DoW_Wednesday,35.0,53.0,32.0,8.0
srch_co_DoW_Friday,26.0,21.0,47.0,14.0
srch_co_DoW_Monday,38.0,35.0,40.0,16.0
srch_co_DoW_Saturday,41.0,53.0,44.0,43.0
srch_co_DoW_Sunday,14.0,20.0,42.0,37.0
srch_co_DoW_Thursday,32.0,33.0,36.0,41.0
srch_co_DoW_Tuesday,42.0,53.0,51.0,29.0
srch_co_DoW_Wednesday,24.0,27.0,24.0,22.0
